row,id,code,domain,business_name,province,city,rating,approve_date,expire_date,trustseal_url
1,6740039,CFNUomRzgVq5KMDK4lvHxAmDcbt9LTXa,rozavaa.ir,رزاوا,آذربایجان شرقی,تبریز,1,1405/04/09,1407/04/09,https://trustseal.enamad.ir/?id=6740039&code=CFNUomRzgVq5KMDK4lvHxAmDcbt9LTXa
2,6736843,A059N6DOLVdXtNQV7eLBnb0mVkmQtAuk,client.parsiangroup.com,پشتیبانی توسعه نرم افزاری پارسیان مهر,تهران,تهران,1,1405/04/09,1407/04/09,https://trustseal.enamad.ir/?id=6736843&code=A059N6DOLVdXtNQV7eLBnb0mVkmQtAuk
3,6736775,vFNcAyLPZZ6FDyPj3mtI4KQ8QRfwUeNq,tinamid.ir,گالری تینامید,تهران,تهران,0,1405/04/09,1406/04/09,https://trustseal.enamad.ir/?id=6736775&code=vFNcAyLPZZ6FDyPj3mtI4KQ8QRfwUeNq
4,6736401,NdbvApC56SuTYymZOVX8oXFZPj70aU4m,hominokala.com,هومینو کالا,کردستان,بانه,0,1405/04/09,1406/04/09,https://trustseal.enamad.ir/?id=6736401&code=NdbvApC56SuTYymZOVX8oXFZPj70aU4m
5,6735857,S4SdQmLNlfK1I5stponAdFLxfby7btJK,atlas-erp.ir,اطلس,گیلان,رشت,0,1405/04/09,1406/04/09,https://trustseal.enamad.ir/?id=6735857&code=S4SdQmLNlfK1I5stponAdFLxfby7btJK
6,6733528,tIpkdHCcWabtAKdxmzsS5JUwpWu4MEsb,mazehjoun.ir,مزه جون,تهران,تهران,0,1405/04/09,1406/04/09,https://trustseal.enamad.ir/?id=6733528&code=tIpkdHCcWabtAKdxmzsS5JUwpWu4MEsb
7,6731114,VX41AjjAoCrKKcav24iuENVrcbymWWB5,idealhomenasiri.com,ایده ال هوم نصیری,تهران,تهران,0,1405/04/09,1406/04/09,https://trustseal.enamad.ir/?id=6731114&code=VX41AjjAoCrKKcav24iuENVrcbymWWB5
8,6730825,usC8sI42U49pKhk3fucMFPfulymkpiiD,zxweb.ir,آژانس نرم افزاری زد ایکس وب,اصفهان,خمینی شهر,0,1405/04/09,1406/04/09,https://trustseal.enamad.ir/?id=6730825&code=usC8sI42U49pKhk3fucMFPfulymkpiiD
9,6729788,hjyGtHDiPxjs8yTK42XqankMGLD0zgNW,zaratek.ir,زارا تک,اصفهان,اصفهان,1,1405/04/08,1407/04/08,https://trustseal.enamad.ir/?id=6729788&code=hjyGtHDiPxjs8yTK42XqankMGLD0zgNW
10,6722053,jR1fkztYziqKc9L6Wx62mr3sWw8ODeEe,filecart.ir,فایل کارت,اصفهان,اصفهان,0,1405/04/08,1406/04/08,https://trustseal.enamad.ir/?id=6722053&code=jR1fkztYziqKc9L6Wx62mr3sWw8ODeEe
